n	l	delta	e_delta
3	1	0.256	0.036
5	1	0.189	0.024
6	1	0.282	0.024
7	1	0.223	0.027
8	1	0.236	0.025
9	1	0.240	0.011
10	1	0.210	0.031
11	1	0.193	0.042
12	1	0.246	0.011
13	1	0.178	0.102
14	1	0.336	0.05
1	2	0.206	0.067
3	2	0.223	0.014
4	2	0.194	0.024
6	2	0.217	0.025
